Employee_ID,Date,Department,Job_Role,Hours_Worked,Tasks_Completed,Performance_Score,Tasks_Per_Hour,Flagged,Year,Month
E00001,2023-01-01,Marketing,Manager,5.1,19,3.9,3.73,False,2023,1
E00002,2023-01-02,HR,Consultant,9.3,8,2.95,0.86,False,2023,1
E00003,2023-01-03,Finance,Developer,5.8,6,2.32,1.03,False,2023,1
E00004,2023-01-04,Finance,Technician,6.4,15,1.51,2.34,False,2023,1
E00005,2023-01-05,Marketing,Analyst,4.5,3,3.62,0.67,False,2023,1
E00006,2023-01-06,Marketing,Analyst,11.6,2,1.4,0.17,False,2023,1
E00007,2023-01-07,Sales,Manager,11.0,10,3.48,0.91,False,2023,1
E00008,2023-01-08,HR,Manager,11.3,1,4.6,0.09,False,2023,1
E00009,2023-01-09,Engineering,Technician,9.0,11,2.27,1.22,False,2023,1
E00010,2023-01-10,HR,Developer,7.4,9,2.8,1.22,False,2023,1
E00011,2023-01-11,Finance,Consultant,8.0,4,3.47,0.5,False,2023,1
E00012,2023-01-12,Engineering,Consultant,11.8,3,2.22,0.25,False,2023,1
E00013,2023-01-13,HR,Developer,11.5,11,3.34,0.96,False,2023,1
E00014,2023-01-14,HR,Manager,9.4,6,3.26,0.64,False,2023,1
E00015,2023-01-15,Marketing,Consultant,10.3,13,2.46,1.26,False,2023,1
E00016,2023-01-16,Engineering,Analyst,6.5,6,2.27,0.92,False,2023,1
E00017,2023-01-17,Finance,Manager,7.3,3,2.71,0.41,False,2023,1
E00018,2023-01-18,Engineering,Developer,5.2,18,1.02,3.46,False,2023,1
E00019,2023-01-19,Sales,Manager,7.0,3,1.98,0.43,False,2023,1
E00020,2023-01-20,HR,Consultant,10.0,11,1.89,1.1,False,2023,1
E00021,2023-01-21,Sales,Analyst,7.8,20,3.96,2.56,False,2023,1
E00022,2023-01-22,Marketing,Analyst,10.8,20,2.74,1.85,False,2023,1
E00023,2023-01-23,Finance,Technician,6.4,16,4.36,2.5,False,2023,1
E00024,2023-01-24,HR,Analyst,9.7,1,1.54,0.1,False,2023,1
E00025,2023-01-25,Sales,Manager,10.4,14,3.93,1.35,False,2023,1
E00026,2023-01-26,Finance,Technician,11.3,6,4.51,0.53,False,2023,1
E00027,2023-01-27,HR,Manager,8.5,20,2.85,2.35,False,2023,1
E00028,2023-01-28,HR,Technician,11.7,14,2.43,1.2,False,2023,1
E00029,2023-01-29,Sales,Manager,8.5,6,2.22,0.71,False,2023,1
E00030,2023-01-30,Marketing,Manager,5.1,2,3.21,0.39,False,2023,1
E00031,2023-01-31,Sales,Analyst,5.9,4,1.7,0.68,False,2023,1
E00032,2023-02-01,Marketing,Manager,5.6,11,3.43,1.96,False,2023,2
E00033,2023-02-02,Engineering,Consultant,9.2,7,4.37,0.76,False,2023,2
E00034,2023-02-03,Sales,Manager,11.4,7,4.43,0.61,False,2023,2
E00035,2023-02-04,Finance,Manager,10.8,14,1.56,1.3,False,2023,2
E00036,2023-02-05,Engineering,Consultant,4.7,18,3.15,3.83,False,2023,2
